# tauT corr_tf_0 err b(a+b*tauf/tau^2) chisq/dof
1.388888888888888951e-01 1.121692958809897167e+00 1.309520464358460146e-02 -1.226000207139186671e+01 3.506800391100277636e-01 9.119651531883736506e-02
1.666666666666666574e-01 1.057588350039606606e+00 1.744106229301656263e-02 -1.073577093571679342e+01 3.818550897538113276e-01 2.271221014765810453e-02
1.944444444444444475e-01 1.000633153459482116e+00 2.145172402058537209e-02 -9.583329174515444748e+00 4.828008230858120697e-01 5.660112660741126872e-03
2.222222222222222099e-01 9.512856106187544958e-01 2.133931864702065528e-02 -8.741290073599602195e+00 5.196589734114738235e-01 5.415296935944985401e-02
2.500000000000000000e-01 9.005795738657174088e-01 2.330124915815301456e-02 -7.973222034190798446e+00 5.464315601192160088e-01 2.343094275227513082e-02
2.777777777777777901e-01 8.471389366369014295e-01 2.582577361553706208e-02 -7.160055789127030224e+00 5.994387838232526633e-01 7.853350339792418422e-03
3.055555555555555802e-01 7.835912148283191714e-01 2.795349120528756171e-02 -6.107891543409555979e+00 6.581129363384041753e-01 7.161318576090293375e-02
3.333333333333333148e-01 7.185069730617998918e-01 3.146415855100337389e-02 -5.209745527947283961e+00 7.661524729444497694e-01 2.087585080009944638e-01
3.611111111111111049e-01 6.550394412601440175e-01 3.564399331277556815e-02 -4.445141427619565988e+00 8.816900375010710000e-01 2.571399714282376348e-01
3.888888888888888951e-01 5.896181217406121222e-01 4.144760463731522737e-02 -3.663403706342824862e+00 1.032518532646793830e+00 3.041615269389478238e-01
4.166666666666666852e-01 5.475769453220896699e-01 4.450418055254312666e-02 -3.584741305029113256e+00 1.084724630982448979e+00 1.039980633649674191e-01
4.444444444444444198e-01 4.820643749611969175e-01 4.808414871746158337e-02 -2.568194594955117260e+00 1.157320989977564496e+00 5.736228185038275140e-02
4.722222222222222099e-01 4.435712816316911278e-01 5.044743939491003193e-02 -2.220705242862660356e+00 1.261395190917874221e+00 2.093384229043520478e-02
5.000000000000000000e-01 4.203425882222916465e-01 5.230076879501888154e-02 -1.874339680297698596e+00 1.226105850968437938e+00 7.173477810193881754e-02
