# tauT corr(a=0) error chi_sq_dof m1(g+m1*taut*x+m2/taut*x+b*x) err m2 err b err nt1^(-2) corr err nt2^(-2) corr err nt3^(-2) corr err (may have nt4)
1.388888888888888951e-01 5.275004833409548155e+02 4.647972336575094232e+00 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 4.708346175711576507e+02 2.759710180199760998e+00 1.111111111111111110e-03 4.506874625012521278e+02 2.602716230746864312e+00 1.736111111111111015e-03 4.035209322073113754e+02 2.239769962061473052e+00
1.666666666666666574e-01 6.513546836564478326e+02 9.458608412499984297e+00 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 6.070086968304676702e+02 4.241840303464528006e+00 1.111111111111111110e-03 6.004655114461866106e+02 4.684473395844293009e+00 1.736111111111111015e-03 5.599262051061068632e+02 3.660175484769524701e+00
1.944444444444444475e-01 8.082197036746899812e+02 1.316959217125713621e+01 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 7.785429745539075839e+02 9.638244086515328490e+00 1.111111111111111110e-03 7.701373644005341248e+02 7.191413269462373137e+00 1.736111111111111015e-03 7.375622485804778989e+02 7.078685422910666603e+00
2.222222222222222099e-01 9.827609730683798261e+02 1.814190163412365564e+01 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 9.669987818757485911e+02 1.256403390404921083e+01 1.111111111111111110e-03 9.573622147750269278e+02 9.737545505500520449e+00 1.736111111111111015e-03 9.302767876947611967e+02 9.116811108713136491e+00
2.500000000000000000e-01 1.199821306338378918e+03 2.670815908453141674e+01 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 1.184340110510586783e+03 1.783863663750776141e+01 1.111111111111111110e-03 1.176165494792275695e+03 1.411864636028235509e+01 1.736111111111111015e-03 1.173056806709545526e+03 1.450130991794253532e+01
2.777777777777777901e-01 1.451807089259974418e+03 3.837633489275458487e+01 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 1.428942947391383314e+03 2.254766969656952824e+01 1.111111111111111110e-03 1.439582334158079448e+03 2.205445769950165413e+01 1.736111111111111015e-03 1.444417105517193477e+03 1.902765272251303941e+01
3.055555555555555802e-01 1.734478700203852441e+03 4.835872544661128813e+01 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 1.703003791914051817e+03 2.838280671162101498e+01 1.111111111111111110e-03 1.731192491919463919e+03 2.839369374732450524e+01 1.736111111111111015e-03 1.760703049543199086e+03 3.023251509910483037e+01
3.333333333333333148e-01 2.057957529592138144e+03 6.455020702977344627e+01 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 2.016109313048694958e+03 3.801509233045203473e+01 1.111111111111111110e-03 2.073104434313449019e+03 4.350493548746908345e+01 1.736111111111111015e-03 2.091059563666349277e+03 3.842559156269408049e+01
3.611111111111111049e-01 2.432541914954623280e+03 8.305665406318439636e+01 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 2.442314250763206473e+03 6.252651429391335114e+01 1.111111111111111110e-03 2.429382428237169279e+03 5.645382758328605632e+01 1.736111111111111015e-03 2.448585200007703406e+03 4.658888810207145070e+01
3.888888888888888951e-01 2.801501649748612635e+03 1.044218713844934427e+02 1.141623465556222961e+00 7.358245171318517532e+04 6.254772946917241206e+05 -1.406208170362621240e+04 1.727344634348619002e+04 1.809784855204223277e+04 2.107354318711127853e+05 7.716049382716048954e-04 2.834391882456750864e+03 7.937097640373031027e+01 1.111111111111111110e-03 2.805129833766545289e+03 7.150066721373968903e+01 1.736111111111111015e-03 2.818206108387638324e+03 5.768625441645326646e+01
