# tauT corr(a=0) error chi_sq_dof m(-m/ntau**2+b) error nt1^(-2) corr err nt2^(-2) corr err nt3^(-2) corr err (may have nt3^(-2))
1.388888888888888951e-01 2.975769584470016937e+00 1.430947729853793149e-02 9.885518501716936690e-01 -5.965210146680967682e+02 9.814630711342374525e+00 7.716049382716048954e-04 2.511149868169816557e+00 8.601471159586537851e-03 1.111111111111111110e-03 2.319472149656029547e+00 8.328235494279301321e-03 1.736111111111111015e-03 1.939735730071675102e+00 4.975624607262973953e-03
1.666666666666666574e-01 3.281289049963493021e+00 2.416982800153277822e-02 1.613263005188742660e+00 -4.574183591450732820e+02 1.869967998863830871e+01 7.716049382716048954e-04 2.916371749861391471e+00 1.517717178662225663e-02 1.111111111111111110e-03 2.783762573266818308e+00 1.128339308587378298e-02 1.736111111111111015e-03 2.484244595061264604e+00 1.107590027514371300e-02
1.944444444444444475e-01 3.584123502866113142e+00 3.375775068834130366e-02 2.552358503897534714e+00 -3.867859699114736145e+02 2.623400527191569154e+01 7.716049382716048954e-04 3.268028911248733515e+00 1.889519555277230367e-02 1.111111111111111110e-03 3.173371893544194577e+00 1.576819353204861329e-02 1.736111111111111015e-03 2.904855427827288672e+00 1.645577036991463515e-02
2.222222222222222099e-01 3.860625148470621326e+00 4.545601018216594014e-02 1.936086940043000748e+00 -3.480734356918003982e+02 3.314616258249174052e+01 7.716049382716048954e-04 3.574721540806882203e+00 2.503747463593342104e-02 1.111111111111111110e-03 3.501282322901886346e+00 2.424584153019093691e-02 1.736111111111111015e-03 3.250260441323041150e+00 1.981474683738637665e-02
2.500000000000000000e-01 4.055745012526086768e+00 5.845099614412241351e-02 1.241232355537860599e+00 -2.895766893054514526e+02 4.475803572298372046e+01 7.716049382716048954e-04 3.818013101149856148e+00 3.026164274953968558e-02 1.111111111111111110e-03 3.768022895388741134e+00 3.715928395711332044e-02 1.736111111111111015e-03 3.543504741393049606e+00 2.820194933886455146e-02
2.777777777777777901e-01 4.200929842644697487e+00 6.552385020935247439e-02 5.181999221787193521e-01 -2.411316082197166111e+02 5.136345864098859693e+01 7.716049382716048954e-04 4.008495025930666422e+00 3.508016938266056428e-02 1.111111111111111110e-03 3.947656254061194581e+00 4.504111238567487518e-02 1.736111111111111015e-03 3.778223086289961063e+00 3.384903098413394318e-02
3.055555555555555802e-01 4.284302464614309081e+00 9.062491954437312813e-02 4.747933136833925039e-01 -1.911559805738124282e+02 6.644313159265070112e+01 7.716049382716048954e-04 4.127131374286713061e+00 5.419870877115329222e-02 1.111111111111111110e-03 4.085838566586007303e+00 5.376641953115601780e-02 1.736111111111111015e-03 3.951010612156729884e+00 4.172800508551377519e-02
3.333333333333333148e-01 4.298764425033928305e+00 1.117504235267539059e-01 4.525021617255984285e-01 -1.272571417099569260e+02 8.735021719543510699e+01 7.716049382716048954e-04 4.201676744046974221e+00 6.527312449560618290e-02 1.111111111111111110e-03 4.151270261586574861e+00 6.112417560003891026e-02 1.736111111111111015e-03 4.077711371825589737e+00 5.810485428996781110e-02
3.611111111111111049e-01 4.312931495950021343e+00 1.339757271572263875e-01 6.334921222415126341e-01 -1.330983028284043428e+02 1.016014340961822597e+02 7.716049382716048954e-04 4.232180405752643537e+00 7.874729928065438145e-02 1.111111111111111110e-03 4.137509644107488782e+00 7.009429433651526153e-02 1.736111111111111015e-03 4.091725878951481654e+00 7.039599412013775037e-02
3.888888888888888951e-01 4.302830789853059557e+00 1.557532170152846618e-01 9.042340581475146744e-01 -1.786871920768777500e+02 1.129743874925479759e+02 7.716049382716048954e-04 4.202808944419770043e+00 8.748049942452773564e-02 1.111111111111111110e-03 4.054232857387338740e+00 8.282518264711224987e-02 1.736111111111111015e-03 4.008310402781439130e+00 7.563008781376812095e-02
4.166666666666666852e-01 4.183581625783224567e+00 1.752067952082922986e-01 9.578204127174532179e-01 -1.684296652460800487e+02 1.351093839999250577e+02 7.716049382716048954e-04 4.096626619263502356e+00 1.028718148138447752e-01 1.111111111111111110e-03 3.926427352051037101e+00 9.762494780178032627e-02 1.736111111111111015e-03 3.907349862553893605e+00 8.907158899207479053e-02
4.444444444444444198e-01 4.070312454534724012e+00 1.807023354674459625e-01 6.996280860052884742e-01 -1.595675667796668336e+02 1.417372187742843721e+02 7.716049382716048954e-04 3.978982270185843717e+00 1.082527187189139539e-01 1.111111111111111110e-03 3.826763526500768897e+00 1.097323093221778123e-01 1.736111111111111015e-03 3.802761924650588377e+00 9.339491782676079268e-02
4.722222222222222099e-01 3.988209019304802982e+00 1.729577020729062831e-01 5.038508855798040642e-01 -1.188579889872000450e+02 1.405168150101791866e+02 7.716049382716048954e-04 3.913654194961147414e+00 1.105217439649668343e-01 1.111111111111111110e-03 3.820481825729776570e+00 1.045030061713378977e-01 1.736111111111111015e-03 3.783669741504405160e+00 9.085468021468434685e-02
5.000000000000000000e-01 4.045676393042603181e+00 1.701552754990220961e-01 4.598305401920089186e-01 -8.694373444182174637e+01 1.441492569443441312e+02 7.716049382716048954e-04 3.997283794930845069e+00 1.073801990828728847e-01 1.111111111111111110e-03 3.917925732211452683e+00 9.634704517859837836e-02 1.736111111111111015e-03 3.891625015785821873e+00 9.514091357501897050e-02
