# tauT corr_tf_0 err b(a+b*tauf/tau^2) chisq/dof
1.388888888888888951e-01 1.096451447462429396e+00 1.439335898937033065e-02 -1.177222269321764259e+01 3.756813491684720674e-01 1.024598481165522046e-01
1.666666666666666574e-01 1.045011328604178447e+00 1.739205572449109560e-02 -1.061010421732677855e+01 4.024484726395165524e-01 1.502218616444597199e-01
1.944444444444444475e-01 1.004703939328863260e+00 2.196616345255519853e-02 -9.971158520885737175e+00 5.023978144793233014e-01 6.828213027039353039e-03
2.222222222222222099e-01 9.542563427665767817e-01 2.461830746934012826e-02 -9.117889975410545134e+00 6.210790448360388183e-01 3.776126950818776973e-02
2.500000000000000000e-01 9.056759993331248149e-01 2.628277878209128726e-02 -8.491436057641459811e+00 6.295972560686688979e-01 2.930470385169884132e-02
2.777777777777777901e-01 8.588870239541634977e-01 2.749171366803193628e-02 -8.023586841666363156e+00 6.591375693005687708e-01 1.143998296496512128e-02
3.055555555555555802e-01 8.006910935482586256e-01 2.858599835391106847e-02 -7.290775046245988378e+00 7.061614749731663920e-01 4.722250866919202976e-03
3.333333333333333148e-01 7.535714317326996925e-01 3.294605216682955362e-02 -6.968544272215349444e+00 7.856737802243980440e-01 8.314860529186521299e-03
3.611111111111111049e-01 6.943314996313593168e-01 3.407099257336232423e-02 -6.460526894500988604e+00 8.469470827553413628e-01 8.124522844715657138e-03
3.888888888888888951e-01 6.345691878635290051e-01 3.715557413992709446e-02 -5.982590768799159520e+00 9.157118238960073597e-01 8.471623158160135336e-03
4.166666666666666852e-01 5.698470393558335845e-01 4.155302656078385670e-02 -5.365167326420301919e+00 1.015946063801041355e+00 1.829006574718779199e-02
4.444444444444444198e-01 5.197095779535171323e-01 4.545861530492467661e-02 -4.964535607717173171e+00 1.081163134041347451e+00 5.258166036209446781e-03
4.722222222222222099e-01 4.794152144663638149e-01 4.716502016555434995e-02 -4.586697182900794090e+00 1.200752103127852077e+00 5.117609721829736134e-03
5.000000000000000000e-01 4.771293813419147378e-01 5.170381132924284362e-02 -5.037043204342294800e+00 1.220805792758822506e+00 8.908476425739750987e-03
