# col1:tauT row1:8taufT^2/taut^2 row2:med(tauT1) row3:err row4:med(tauT2) row5:err ...
1.944444444444444475e-01 2.025000000000000133e-01 2.070250000000000146e-01 2.116000000000000103e-01 2.162250000000000283e-01 2.209000000000000408e-01 2.256250000000000200e-01 2.304000000000000492e-01 2.352250000000000452e-01 2.401000000000000356e-01 2.450250000000000483e-01 2.500000000000000000e-01 2.550250000000001127e-01 2.600999999999999979e-01 2.652250000000001551e-01 2.704000000000000292e-01
1.944444444444444475e-01 7.916565225138801898e-01 7.878874403939812865e-01 7.836074253873309692e-01 7.779130696743692397e-01 7.708681990613618362e-01 7.603598537059068629e-01 7.557519095679554599e-01 7.521047682594115269e-01 7.467839287569274509e-01 7.392774964567696561e-01 7.316859936065888137e-01 7.245861443268237778e-01 7.180523307664602450e-01 7.107379868132881473e-01 7.034031480990319274e-01
1.944444444444444475e-01 1.140851774100315463e-02 1.050432599467943096e-02 9.923201746540821766e-03 9.437000028899023008e-03 9.214043767513224736e-03 8.664176144142388125e-03 8.160658095602069118e-03 7.654977321112199640e-03 7.497339180980056028e-03 7.118598316790847313e-03 6.719267749585089433e-03 6.416929037679430792e-03 6.254389540941707182e-03 5.987432814910653711e-03 5.828195795615997987e-03
2.222222222222222099e-01 7.661372179246110914e-01 7.644985875381238305e-01 7.612258555527318116e-01 7.554502629800529112e-01 7.496401609557175050e-01 7.425802353764672237e-01 7.382273818241551488e-01 7.336824554202606707e-01 7.275202059847627467e-01 7.218501485354338332e-01 7.155274807414304661e-01 7.086746716846340499e-01 7.020653592092227502e-01 6.953982507741263142e-01 6.887996632096420324e-01
2.222222222222222099e-01 1.198111109375898931e-02 1.145227099846379826e-02 1.092082561219565040e-02 1.034709571108094472e-02 9.780722285975929076e-03 9.302455371996920519e-03 9.132399744308128398e-03 8.937138787215803681e-03 8.407237144094525938e-03 8.256542905744623795e-03 7.934668268777644862e-03 7.524544066758953598e-03 7.307532372956337952e-03 7.124502407232058410e-03 6.952943116342313878e-03
2.500000000000000000e-01 7.505649119765246402e-01 7.476970812477474748e-01 7.430939613930496179e-01 7.380331317206672015e-01 7.343521219861297578e-01 7.293477473419728296e-01 7.247226884044152273e-01 7.188886224394730462e-01 7.142034256719613783e-01 7.095492601940875943e-01 7.053709071823012211e-01 6.982760572337320948e-01 6.915000778661849479e-01 6.845568553057287398e-01 6.781553320578532773e-01
2.500000000000000000e-01 1.336801148752342350e-02 1.304769808687500365e-02 1.281787320952532117e-02 1.203801972942109000e-02 1.139428247667140237e-02 1.086631914429503354e-02 1.051396703266838095e-02 1.043398102229264879e-02 1.004476871324611054e-02 9.589604859440492568e-03 9.264328595605997307e-03 8.861002155751029896e-03 8.759799151156988373e-03 8.783851082838300961e-03 9.093352250914565893e-03
2.777777777777777901e-01 7.388942314927866573e-01 7.365648594766116553e-01 7.314985190582823371e-01 7.262869283421635735e-01 7.221713540467361581e-01 7.185171488888345559e-01 7.138125645415104303e-01 7.084872445659700091e-01 7.037582773155279803e-01 6.992887116264856484e-01 6.945891073875820609e-01 6.892238088050541833e-01 6.830751313153435866e-01 6.772697267547884703e-01 6.714652300153078901e-01
2.777777777777777901e-01 1.365418150240094164e-02 1.352839971740416036e-02 1.299397479706121405e-02 1.253637220655423601e-02 1.214353248473198921e-02 1.169003732389717332e-02 1.152519195710322020e-02 1.163522512062309389e-02 1.129246519139703864e-02 1.087716014352413385e-02 1.073912455863157422e-02 1.029718804366530627e-02 1.006908538712425472e-02 9.973329672697373027e-03 9.655413953200686628e-03
3.055555555555555802e-01 7.292081608225617906e-01 7.263467517719639499e-01 7.220691196940818291e-01 7.182524003299950444e-01 7.151363746826859824e-01 7.117552820689906357e-01 7.067486287454149974e-01 7.010552905165114979e-01 6.971748235972166086e-01 6.925189014307971958e-01 6.882252082771840307e-01 6.818603264392835150e-01 6.758460723283779004e-01 6.701314220012883904e-01 6.647994985166645332e-01
3.055555555555555802e-01 1.459259525966538629e-02 1.506790266170576764e-02 1.500742780934871679e-02 1.463209831935252669e-02 1.394590225598224542e-02 1.368782736772500286e-02 1.324038087008005959e-02 1.278364485079008794e-02 1.252597962400414655e-02 1.201009030670652233e-02 1.149301818446202272e-02 1.102430734248960320e-02 1.073553146365391342e-02 1.037831707583058982e-02 9.979022205218068819e-03
3.333333333333333148e-01 7.226853505170552916e-01 7.195178943709594765e-01 7.156195166335974633e-01 7.122090426651610517e-01 7.088623287280613194e-01 7.056767420793588208e-01 7.005589315520102112e-01 6.949925990792864550e-01 6.914949855544566537e-01 6.874560263507200064e-01 6.830982204610294151e-01 6.768777485317037934e-01 6.705659336355263012e-01 6.646502259805460167e-01 6.594977245100686059e-01
3.333333333333333148e-01 1.673191464300916032e-02 1.594577470331259850e-02 1.521253222598750732e-02 1.476642834633690171e-02 1.365937155577534590e-02 1.306946894632499134e-02 1.278028271431885798e-02 1.252155424182443966e-02 1.213590737144243370e-02 1.160472874613804883e-02 1.114454372731221721e-02 1.089572126083993009e-02 1.052907778430522967e-02 1.032586715016192702e-02 1.026663982674780318e-02
3.611111111111111049e-01 7.182228961932534128e-01 7.156710960450933801e-01 7.117592055599442080e-01 7.080797558303704164e-01 7.042610364551862290e-01 7.006864179598011333e-01 6.957885857478377511e-01 6.904350977978040982e-01 6.873380558413454411e-01 6.834894984416640673e-01 6.790730185354716397e-01 6.735462210708693664e-01 6.676934850860791748e-01 6.623949563826165843e-01 6.577770668542828325e-01
