# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
1.495813463940479700e-04 2.312586535434128177e+00 7.171779102083668533e-01 6.691407159195263965e-01 8.888946801757060534e-01 2.765213656520216778e-01 2.527987035959107232e-01
1.523443711586330471e-04 2.312586533504903397e+00 7.171779096100767692e-01 6.691407153613102565e-01 8.888946801460444469e-01 2.765213656427946143e-01 2.527987035874750266e-01
1.551584337433323962e-04 2.312586531503747267e+00 7.171779089894794179e-01 6.691407147822814316e-01 8.888946801152769472e-01 2.765213656332233816e-01 2.527987035787248038e-01
1.580244769044743161e-04 2.312586529427980153e+00 7.171779083457441306e-01 6.691407141816632098e-01 8.888946800833621431e-01 2.765213656232951012e-01 2.527987035696483975e-01
1.609434608127180964e-04 2.312586527274818060e+00 7.171779076780069317e-01 6.691407135586509014e-01 8.888946800502576240e-01 2.765213656129967834e-01 2.527987035602335952e-01
1.639163633747267460e-04 2.312586525041376184e+00 7.171779069853734256e-01 6.691407129124109510e-01 8.888946800159185369e-01 2.765213656023143285e-01 2.527987035504677404e-01
1.669441805607814206e-04 2.312586522724661364e+00 7.171779062669150218e-01 6.691407122420760523e-01 8.888946799802992516e-01 2.765213655912337476e-01 2.527987035403378435e-01
1.700279267384475687e-04 2.312586520321567640e+00 7.171779055216684906e-01 6.691407115467482569e-01 8.888946799433519175e-01 2.765213655797400527e-01 2.527987035298300267e-01
1.731686350124044145e-04 2.312586517828876698e+00 7.171779047486368519e-01 6.691407108254940894e-01 8.888946799050271297e-01 2.765213655678178117e-01 2.527987035189304121e-01
1.763673575705514292e-04 2.312586515243246321e+00 7.171779039467831574e-01 6.691407100773485439e-01 8.888946798652734849e-01 2.765213655554511485e-01 2.527987035076242339e-01
1.796251660365090204e-04 2.312586512561211727e+00 7.171779031150320449e-01 6.691407093013093110e-01 8.888946798240374703e-01 2.765213655426232986e-01 2.527987034958972812e-01
1.829431518286286625e-04 2.312586509779178012e+00 7.171779022522695168e-01 6.691407084963350016e-01 8.888946797812639078e-01 2.765213655293170536e-01 2.527987034837323455e-01
1.863224265256363662e-04 2.312586506893417493e+00 7.171779013573393868e-01 6.691407076613478111e-01 8.888946797368957320e-01 2.765213655155148720e-01 2.527987034711143277e-01
1.897641222390291282e-04 2.312586503900062596e+00 7.171779004290419479e-01 6.691407067952286347e-01 8.888946796908729908e-01 2.765213655011977689e-01 2.527987034580256864e-01
1.932693919923508059e-04 2.312586500795100974e+00 7.171778994661330842e-01 6.691407058968166233e-01 8.888946796431346220e-01 2.765213654863472037e-01 2.527987034444491021e-01
1.968394101074733211e-04 2.312586497574372846e+00 7.171778984673227164e-01 6.691407049649078509e-01 8.888946795936161216e-01 2.765213654709426372e-01 2.527987034303662561e-01
2.004753725980135668e-04 2.312586494233560330e+00 7.171778974312721378e-01 6.691407039982522065e-01 8.888946795422515423e-01 2.765213654549638633e-01 2.527987034157582746e-01
2.041784975700172613e-04 2.312586490768186565e+00 7.171778963565922371e-01 6.691407029955560581e-01 8.888946794889716063e-01 2.765213654383892328e-01 2.527987034006058398e-01
2.079500256300439987e-04 2.312586487173608152e+00 7.171778952418443875e-01 6.691407019554742597e-01 8.888946794337053703e-01 2.765213654211968741e-01 2.527987033848884124e-01
2.117912203007905685e-04 2.312586483445007168e+00 7.171778940855328965e-01 6.691407008766132591e-01 8.888946793763785603e-01 2.765213654033633617e-01 2.527987033685843432e-01
2.157033684443911310e-04 2.312586479577386278e+00 7.171778928861081148e-01 6.691406997575284343e-01 8.888946793169142380e-01 2.765213653848650477e-01 2.527987033516730930e-01
2.196877806935376340e-04 2.312586475565563404e+00 7.171778916419646599e-01 6.691406985967165433e-01 8.888946792552328002e-01 2.765213653656768411e-01 2.527987033341312362e-01
