# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
1.863224265256363662e-04 3.598705711055814493e+00 1.079787391641717775e+00 1.092762666144440065e+00 1.393480042768232785e+00 4.185172801522047958e-01 4.149262243939024764e-01
1.897641222390291282e-04 3.598705706399297988e+00 1.079787390234939970e+00 1.092762664729343136e+00 1.393480042696640275e+00 4.185172801304525292e-01 4.149262243726239419e-01
1.932693919923508059e-04 3.598705701569176796e+00 1.079787388775685919e+00 1.092762663261479972e+00 1.393480042622382564e+00 4.185172801078879123e-01 4.149262243505535963e-01
1.968394101074733211e-04 3.598705696558976541e+00 1.079787387261994969e+00 1.092762661738884589e+00 1.393480042545361064e+00 4.185172800844813024e-01 4.149262243276623519e-01
2.004753725980135668e-04 3.598705691361983483e+00 1.079787385691838519e+00 1.092762660159515065e+00 1.393480042465472746e+00 4.185172800602011689e-01 4.149262243039186782e-01
2.041784975700172613e-04 3.598705685971235191e+00 1.079787384063110700e+00 1.092762658521255759e+00 1.393480042382610584e+00 4.185172800350145383e-01 4.149262242792914890e-01
2.079500256300439987e-04 3.598705680379505889e+00 1.079787382373623039e+00 1.092762656821910650e+00 1.393480042296664667e+00 4.185172800088881040e-01 4.149262242537485879e-01
2.117912203007905685e-04 3.598705674579305125e+00 1.079787380621112902e+00 1.092762655059201116e+00 1.393480042207519531e+00 4.185172799817866718e-01 4.149262242272548917e-01
2.157033684443911310e-04 3.598705668562859561e+00 1.079787378803227504e+00 1.092762653230766379e+00 1.393480042115056605e+00 4.185172799536734933e-01 4.149262241997746514e-01
2.196877806935376340e-04 3.598705662322106758e+00 1.079787376917528796e+00 1.092762651334151069e+00 1.393480042019152432e+00 4.185172799245111541e-01 4.149262241712727839e-01
2.237457918905616896e-04 3.598705655848683627e+00 1.079787374961485469e+00 1.092762649366821215e+00 1.393480041919678447e+00 4.185172798942600192e-01 4.149262241417097652e-01
2.278787615346290199e-04 3.598705649133917106e+00 1.079787372932473843e+00 1.092762647326130931e+00 1.393480041816502313e+00 4.185172798628802315e-01 4.149262241110474037e-01
2.320880742371934642e-04 3.598705642168809948e+00 1.079787370827773429e+00 1.092762645209350847e+00 1.393480041709486583e+00 4.185172798303291586e-01 4.149262240792432888e-01
2.363751401858640963e-04 3.598705634944026954e+00 1.079787368644558931e+00 1.092762643013639234e+00 1.393480041598487595e+00 4.185172797965627245e-01 4.149262240462563422e-01
2.407413956168407375e-04 3.598705627449888311e+00 1.079787366379902025e+00 1.092762640736057556e+00 1.393480041483358134e+00 4.185172797615365203e-01 4.149262240120419332e-01
2.451883032960764297e-04 3.598705619676352274e+00 1.079787364030764696e+00 1.092762638373550477e+00 1.393480041363943656e+00 4.185172797252024735e-01 4.149262239765543203e-01
2.497173530093273848e-04 3.598705611613001398e+00 1.079787361593995687e+00 1.092762635922953418e+00 1.393480041240085399e+00 4.185172796875126222e-01 4.149262239397466523e-01
2.543300620612554261e-04 3.598705603249030993e+00 1.079787359066324282e+00 1.092762633380977455e+00 1.393480041111617496e+00 4.185172796484154523e-01 4.149262239015689691e-01
2.590279757837492649e-04 3.598705594573234912e+00 1.079787356444361635e+00 1.092762630744218200e+00 1.393480040978368972e+00 4.185172796078594493e-01 4.149262238619717547e-01
2.638126680536359439e-04 3.598705585573985566e+00 1.079787353724587895e+00 1.092762628009142034e+00 1.393480040840161749e+00 4.185172795657892131e-01 4.149262238209003861e-01
2.686857418199546459e-04 3.598705576239225046e+00 1.079787350903354870e+00 1.092762625172082558e+00 1.393480040696811528e+00 4.185172795221488995e-01 4.149262237783017948e-01
2.736488296409704318e-04 3.598705566556445135e+00 1.079787347976878475e+00 1.092762622229236591e+00 1.393480040548126464e+00 4.185172794768793336e-01 4.149262237341175830e-01
2.787035942311076164e-04 3.598705556512672210e+00 1.079787344941233851e+00 1.092762619176657068e+00 1.393480040393908936e+00 4.185172794299202303e-01 4.149262236882904631e-01
2.838517290179868235e-04 3.598705546094445928e+00 1.079787341792345590e+00 1.092762616010256593e+00 1.393480040233952444e+00 4.185172793812077519e-01 4.149262236407580406e-01
2.890949587097486808e-04 3.598705535287806789e+00 1.079787338525989515e+00 1.092762612725788784e+00 1.393480040068044268e+00 4.185172793306776162e-01 4.149262235914570329e-01
2.944350398728603395e-04 3.598705524078273932e+00 1.079787335137784687e+00 1.092762609318850942e+00 1.393480039895962364e+00 4.185172792782607676e-01 4.149262235403219368e-01
2.998737615205930378e-04 3.598705512450826483e+00 1.079787331623184521e+00 1.092762605784878716e+00 1.393480039717477137e+00 4.185172792238868178e-01 4.149262234872852506e-01
3.054129457123703627e-04 3.598705500389885792e+00 1.079787327977475009e+00 1.092762602119131898e+00 1.393480039532351444e+00 4.185172791674840465e-01 4.149262234322741438e-01
3.110544481641876798e-04 3.598705487879288789e+00 1.079787324195764064e+00 1.092762598316698863e+00 1.393480039340336818e+00 4.185172791089751820e-01 4.149262233752177842e-01
3.168001588703068323e-04 3.598705474902271995e+00 1.079787320272977968e+00 1.092762594372483242e+00 1.393480039141178128e+00 4.185172790482825089e-01 4.149262233160389002e-01
3.226520027364346006e-04 3.598705461441446651e+00 1.079787316203854708e+00 1.092762590281195934e+00 1.393480038934608922e+00 4.185172789853237596e-01 4.149262232546579998e-01
3.286119402245973181e-04 3.598705447478776076e+00 1.079787311982933762e+00 1.092762586037357320e+00 1.393480038720354308e+00 4.185172789200148902e-01 4.149262231909944809e-01
3.346819680099268036e-04 3.598705432995550346e+00 1.079787307604553881e+00 1.092762581635274621e+00 1.393480038498128071e+00 4.185172788522677489e-01 4.149262231249621902e-01
3.408641196495799789e-04 3.598705417972362319e+00 1.079787303062840209e+00 1.092762577069049001e+00 1.393480038267633780e+00 4.185172787819916307e-01 4.149262230564745302e-01
3.471604662640116160e-04 3.598705402389081431e+00 1.079787298351698510e+00 1.092762572332559134e+00 1.393480038028564127e+00 4.185172787090919444e-01 4.149262229854389084e-01
3.535731172308338569e-04 3.598705386224827940e+00 1.079787293464809839e+00 1.092762567419458541e+00 1.393480037780600256e+00 4.185172786334708794e-01 4.149262229117609557e-01
